dataset,graph_type,minmaxscaler,nn,normalization,nnk,kalofolias,self_loop,label_prop_train,label_prop_test,label_prop_train_std,label_prop_test_std
flowers102,RBF,True,40,None,True,False,False,100.0,0.9803921568627455,0.0,2.220446049250313e-16
flowers102,RBF,True,40,None,False,False,True,100.0,0.9803921568627455,0.0,2.220446049250313e-16
flowers102,RBF,True,40,None,False,False,False,100.0,0.9803921568627455,0.0,2.220446049250313e-16
flowers102,RBF,True,40,BothSides,True,False,True,100.0,27.4128540305011,0.0,1.5723581121053407
flowers102,RBF,True,40,BothSides,True,False,False,100.0,27.429193899782145,0.0,1.5651437957003758
flowers102,RBF,True,40,BothSides,False,False,True,100.0,24.45751633986928,0.0,1.4206797778791573
flowers102,RBF,True,40,BothSides,False,False,False,100.0,24.504357298474947,0.0,1.4265890198157758
flowers102,RBF,True,30,None,True,False,True,100.0,0.9803921568627455,0.0,2.220446049250313e-16
flowers102,RBF,True,30,None,True,False,False,100.0,0.9803921568627455,0.0,2.220446049250313e-16
flowers102,RBF,True,30,None,False,False,True,100.0,0.9803921568627455,0.0,2.220446049250313e-16
flowers102,RBF,True,30,None,False,False,False,100.0,0.9803921568627455,0.0,2.220446049250313e-16
flowers102,RBF,True,30,BothSides,True,False,True,100.0,27.537037037037045,0.0,1.5151636154738135
flowers102,RBF,True,30,BothSides,True,False,False,100.0,27.600217864923753,0.0,1.4852936183232588
flowers102,RBF,True,30,BothSides,False,False,True,100.0,26.129629629629626,0.0,1.474710191913038
flowers102,RBF,True,30,BothSides,False,False,False,100.0,26.190631808278866,0.0,1.395037864364279
flowers102,RBF,True,20,None,True,False,True,100.0,0.9803921568627455,0.0,2.220446049250313e-16
flowers102,RBF,True,20,None,True,False,False,100.0,0.9803921568627455,0.0,2.220446049250313e-16
flowers102,RBF,True,20,None,False,False,True,100.0,0.9803921568627455,0.0,2.220446049250313e-16
flowers102,RBF,True,20,None,False,False,False,100.0,0.9803921568627455,0.0,2.220446049250313e-16
flowers102,RBF,True,20,BothSides,True,False,True,100.0,28.27124183006536,0.0,1.475015927882536
flowers102,RBF,True,20,BothSides,True,False,False,100.0,28.405228758169937,0.0,1.5106006631209574
flowers102,RBF,True,20,BothSides,False,False,True,100.0,29.03376906318083,0.0,1.486954439662405
flowers102,RBF,True,20,BothSides,False,False,False,100.0,29.06753812636166,0.0,1.486017661208102
flowers102,RBF,True,200,None,True,False,True,100.0,0.9803921568627455,0.0,2.220446049250313e-16
flowers102,RBF,True,200,None,True,False,False,100.0,0.9803921568627455,0.0,2.220446049250313e-16
flowers102,RBF,True,200,None,False,False,True,100.0,0.9803921568627455,0.0,2.220446049250313e-16
flowers102,RBF,True,200,None,False,False,False,100.0,0.9803921568627455,0.0,2.220446049250313e-16
flowers102,RBF,True,200,BothSides,True,False,True,100.0,20.436819172113292,0.0,1.4886644239155022
flowers102,RBF,True,200,BothSides,True,False,False,100.0,20.470588235294123,0.0,1.5090728124486024
flowers102,RBF,True,200,BothSides,False,False,True,100.0,3.409586056644881,0.0,1.3384515233246617
flowers102,RBF,True,200,BothSides,False,False,False,100.0,3.4782135076252727,0.0,1.3485869576659273
flowers102,RBF,True,10,None,True,False,True,100.0,0.9803921568627455,0.0,2.220446049250313e-16
flowers102,RBF,True,10,None,True,False,False,100.0,0.9803921568627455,0.0,2.220446049250313e-16
flowers102,RBF,True,10,None,False,False,True,100.0,0.9803921568627455,0.0,2.220446049250313e-16
flowers102,RBF,True,10,None,False,False,False,100.0,0.9803921568627455,0.0,2.220446049250313e-16
flowers102,RBF,True,10,BothSides,True,False,True,100.0,26.911764705882355,0.0,1.7001405188831435
flowers102,RBF,True,10,BothSides,True,False,False,100.0,27.052287581699353,0.0,1.690189563252238
flowers102,RBF,True,10,BothSides,False,False,True,100.0,33.758169934640534,0.0,1.422267543278062
flowers102,RBF,True,10,BothSides,False,False,False,100.0,33.7995642701525,0.0,1.4157096768581994
flowers102,RBF,True,100,None,True,False,True,100.0,0.9803921568627455,0.0,2.220446049250313e-16
flowers102,RBF,True,100,None,True,False,False,100.0,0.9803921568627455,0.0,2.220446049250313e-16
flowers102,RBF,True,100,None,False,False,True,100.0,0.9803921568627455,0.0,2.220446049250313e-16
flowers102,RBF,True,100,None,False,False,False,100.0,0.9803921568627455,0.0,2.220446049250313e-16
flowers102,RBF,True,100,BothSides,True,False,True,100.0,23.82897603485839,0.0,1.5306755263869902
flowers102,RBF,True,100,BothSides,True,False,False,100.0,23.864923747276684,0.0,1.5504177860805624
