dataset,graph_type,minmaxscaler,nn,normalization,nnk,kalofolias,self_loop,acc_train,acc_train_std,acc_test,acc_test_std
flowers102,kalofolias,False,500,BothSides,False,True,False,83.24509803921568,3.012517139465091,13.342047930283224,1.1942376634938177
flowers102,kalofolias,False,40,None,False,True,True,100.0,0.0,34.56318082788671,1.7428033049576792
flowers102,kalofolias,False,40,None,False,True,False,99.89215686274511,0.30675466366984017,31.867102396514166,1.7769966565382251
flowers102,kalofolias,False,40,BothSides,False,True,True,99.99019607843137,0.09754778795162837,33.913943355119834,1.725681023646071
flowers102,kalofolias,False,40,BothSides,False,True,False,99.10784313725489,0.9310629000226247,31.918300653594773,1.745198333076016
flowers102,kalofolias,False,30,None,False,True,True,100.0,0.0,35.6644880174292,1.7620814827459568
flowers102,kalofolias,False,30,None,False,True,False,99.94117647058823,0.23283023700074099,33.55882352941177,1.8535334541063535
flowers102,kalofolias,False,30,BothSides,False,True,True,100.0,0.0,34.90631808278868,1.7030655910119095
flowers102,kalofolias,False,30,BothSides,False,True,False,99.55882352941177,0.6410145505206856,33.36492374727669,1.821244889084912
flowers102,kalofolias,False,20,None,False,True,True,100.0,0.0,36.855119825708066,1.7156122680030548
flowers102,kalofolias,False,20,None,False,True,False,99.93137254901961,0.2501441337680968,35.19172113289761,1.8340047340370902
flowers102,kalofolias,False,20,BothSides,False,True,True,100.0,0.0,35.99455337690632,1.7101532664860242
flowers102,kalofolias,False,20,BothSides,False,True,False,99.81372549019608,0.43170664424125255,34.93899782135076,1.855348486631143
flowers102,kalofolias,False,200,None,False,True,True,98.37254901960785,1.1863960397965387,22.565359477124183,1.5216562668948697
flowers102,kalofolias,False,200,None,False,True,False,90.71568627450985,2.725613623950855,18.858387799564273,1.3830802538721638
flowers102,kalofolias,False,200,BothSides,False,True,True,99.58823529411764,0.5911691541835798,24.594771241830067,1.3960008437365432
flowers102,kalofolias,False,200,BothSides,False,True,False,95.91176470588236,1.3588603113036666,20.72875816993464,1.3988637493193947
flowers102,kalofolias,False,10,None,False,True,True,100.0,0.0,37.5,1.6690056493911445
flowers102,kalofolias,False,10,None,False,True,False,99.78431372549021,0.4718121339418006,35.64270152505447,1.7753652090726577
flowers102,kalofolias,False,10,BothSides,False,True,True,100.0,0.0,36.63180827886711,1.7097247466005934
flowers102,kalofolias,False,10,BothSides,False,True,False,99.98039215686275,0.13725490196078285,35.41176470588236,1.7836126426119647
flowers102,kalofolias,False,100,None,False,True,True,100.0,0.0,28.875816993464056,1.6142364815191823
flowers102,kalofolias,False,100,None,False,True,False,98.7549019607843,1.01748459166291,25.044662309368196,1.4999564896710342
