dataset,graph_type,minmaxscaler,nn,normalization,nnk,kalofolias,self_loop,ami,ari,nmi
flowers102,RBF,False,20,None,False,False,False,35.52326682420355,19.662783288365095,67.43733603320466
flowers102,RBF,False,20,BothSides,True,False,True,34.366432416939716,8.686129220281645,62.61213602655806
flowers102,RBF,False,20,BothSides,True,False,False,34.95023050517577,8.733511485805213,62.98778918194016
flowers102,RBF,False,20,BothSides,False,False,True,36.620251990852275,17.784452423828434,67.73581388555158
flowers102,RBF,False,20,BothSides,False,False,False,36.83502179744293,18.085342222573757,67.58245473634659
flowers102,RBF,False,200,None,True,False,True,10.429919216656417,0.48432306670081166,32.406578049902286
flowers102,RBF,False,200,None,True,False,False,10.429919216656417,0.48432306670081166,32.406578049902286
flowers102,RBF,False,200,None,False,False,True,16.488888246361746,3.2615270014185813,45.79860416974111
flowers102,RBF,False,200,None,False,False,False,16.488888246361746,3.2615270014185813,45.79860416974111
flowers102,RBF,False,200,BothSides,True,False,True,26.903922226636475,7.102399080304851,53.98086672198046
flowers102,RBF,False,200,BothSides,True,False,False,26.40309755349967,7.065078354004275,53.123151053536056
flowers102,RBF,False,200,BothSides,False,False,True,16.213542530706285,2.7308240427875847,46.19658488193861
flowers102,RBF,False,200,BothSides,False,False,False,16.213542530706285,2.7308240427875847,46.19658488193861
flowers102,RBF,False,10,None,True,False,True,32.33816309490733,4.343340064588928,60.714715503942074
flowers102,RBF,False,10,None,True,False,False,32.33816309490733,4.343340064588928,60.714715503942074
flowers102,RBF,False,10,None,False,False,True,36.296616716181674,18.94832599241696,67.70203560051876
flowers102,RBF,False,10,None,False,False,False,36.296616716181674,18.94832599241696,67.70203560051876
flowers102,RBF,False,10,BothSides,True,False,True,34.00969003375298,5.620406521830095,61.976093169473344
flowers102,RBF,False,10,BothSides,True,False,False,32.890107847770686,4.240743887026744,60.95070558330207
flowers102,RBF,False,10,BothSides,False,False,True,39.17481571534916,24.107004094531995,69.58559277257903
flowers102,RBF,False,10,BothSides,False,False,False,37.487266413178524,18.21470174979059,68.27496905400349
flowers102,RBF,False,100,None,True,False,True,10.471699605966869,0.40914535376010014,36.786039569619156
flowers102,RBF,False,100,None,True,False,False,10.471699605966869,0.40914535376010014,36.786039569619156
flowers102,RBF,False,100,None,False,False,True,24.09360023602908,4.64310196387162,55.50479793529107
flowers102,RBF,False,100,None,False,False,False,24.09360023602908,4.64310196387162,55.50479793529107
flowers102,RBF,False,100,BothSides,True,False,True,31.654393966205546,9.835281675713949,59.06870192076047
flowers102,RBF,False,100,BothSides,True,False,False,32.41231022511013,10.672384571924384,59.47640112032844
flowers102,RBF,False,100,BothSides,False,False,True,25.651534269844607,5.409896017910625,55.94770247087465
flowers102,RBF,False,100,BothSides,False,False,False,25.635904208448267,6.688636591347668,55.82057463454554
flowers102,RBF,False,1000,None,True,False,True,8.71104242869731,1.4721456599358569,36.57259605685476
flowers102,RBF,False,1000,None,True,False,False,8.71104242869731,1.4721456599358569,36.57259605685476
flowers102,RBF,False,1000,None,False,False,True,25.2424923503635,5.664182043357215,45.70708178779562
flowers102,RBF,False,1000,None,False,False,False,25.2424923503635,5.664182043357215,45.70708178779562
flowers102,RBF,False,1000,BothSides,True,False,True,9.235771449984423,1.653995349771397,36.74734913015529
flowers102,RBF,False,1000,BothSides,True,False,False,10.516365207421785,1.7088332065210186,36.65130347038421
flowers102,RBF,False,1000,BothSides,False,False,True,26.11296162639124,5.475454513996422,45.67905759980631
flowers102,RBF,False,1000,BothSides,False,False,False,26.11296162639124,5.475454513996422,45.67905759980631
flowers102,RBF,False,0,None,False,False,True,34.959331581172506,18.63848767413071,65.65832735304443
flowers102,RBF,False,0,None,False,False,False,34.959331581172506,18.63848767413071,65.65832735304443
flowers102,RBF,False,0,BothSides,False,False,True,34.507650371656155,18.74873350379812,65.63173151520826
flowers102,RBF,False,0,BothSides,False,False,False,34.507650371656155,18.74873350379812,65.63173151520826
flowers102,L2Distance,True,5,None,True,False,True,12.846812490907281,0.45423924880774275,42.855270467134766
flowers102,L2Distance,True,5,None,True,False,False,12.998683636747813,0.4554922689025506,43.04941934479704
flowers102,L2Distance,True,5,BothSides,True,False,True,15.094031757047716,0.5980114916423227,45.353119771103295
flowers102,L2Distance,True,5,BothSides,True,False,False,22.16418890534762,1.120097049288795,51.86473377163884
flowers102,L2Distance,True,50,None,True,False,True,12.382718816290678,0.4537894599172283,39.7049954734437
flowers102,L2Distance,True,50,None,True,False,False,12.382718816290678,0.4537894599172283,39.7049954734437
flowers102,L2Distance,True,50,BothSides,True,False,True,21.452198018375686,1.3839329252613493,49.05705547799171
flowers102,L2Distance,True,50,BothSides,True,False,False,36.55510246778147,11.268549382839337,63.15194210239987
flowers102,L2Distance,True,500,None,True,False,True,4.484704552174182,0.16316706923744645,25.53143693303163
flowers102,L2Distance,True,500,None,True,False,False,4.484704552174182,0.16316706923744645,25.53143693303163
flowers102,L2Distance,True,500,BothSides,True,False,True,17.043765757140665,1.4969091406664294,39.9070674990647
flowers102,L2Distance,True,500,BothSides,True,False,False,28.35969454998761,5.175427582856957,53.271233044655695
flowers102,L2Distance,True,40,None,True,False,True,14.183635221124513,0.5752184145059402,41.70403325007715
flowers102,L2Distance,True,40,None,True,False,False,14.183635221124513,0.5752184145059402,41.70403325007715
flowers102,L2Distance,True,40,BothSides,True,False,True,21.653728188977244,1.4759965208204098,49.08930299668754
flowers102,L2Distance,True,40,BothSides,True,False,False,35.280578910647364,7.893421343714806,61.97696415893182
flowers102,L2Distance,True,30,None,True,False,True,18.89881369088714,1.0576978404460748,47.22534579313434
flowers102,L2Distance,True,30,None,True,False,False,18.89881369088714,1.0576978404460748,47.22534579313434
flowers102,L2Distance,True,30,BothSides,True,False,True,21.316071948943023,1.2257250699549462,50.27533407283633
flowers102,L2Distance,True,30,BothSides,True,False,False,35.73464214971713,8.372146045719289,62.607653451391066
flowers102,L2Distance,True,20,None,True,False,True,22.991151004107593,1.299226955329076,51.084151164621005
flowers102,L2Distance,True,20,None,True,False,False,22.991151004107593,1.299226955329076,51.084151164621005
flowers102,L2Distance,True,20,BothSides,True,False,True,27.189042636375234,2.2843434066647514,55.35926448736317
flowers102,L2Distance,True,20,BothSides,True,False,False,34.86156156223772,5.721210028798302,62.29460284767876
flowers102,L2Distance,True,200,None,True,False,True,6.403662647986158,0.17480657641607159,29.43992376999048
flowers102,L2Distance,True,200,None,True,False,False,6.403662647986158,0.17480657641607159,29.43992376999048
flowers102,L2Distance,True,200,BothSides,True,False,True,17.831280848929598,1.4861915117955256,41.074516527163084
flowers102,L2Distance,True,200,BothSides,True,False,False,32.8729592954592,9.306463645866195,59.63121955092138
flowers102,L2Distance,True,10,None,True,False,True,23.056050055210996,1.3114353036310173,52.45400282032523
flowers102,L2Distance,True,10,None,True,False,False,25.944633419239004,1.9294367827140984,55.144789699585914
flowers102,L2Distance,True,10,BothSides,True,False,True,31.649695792862765,3.3373851911095,59.76271203593885
flowers102,L2Distance,True,10,BothSides,True,False,False,34.6727051290287,4.600427586315205,62.157773287525266
flowers102,L2Distance,True,100,None,True,False,True,8.55899326444172,0.2888734177166519,32.905915523176304
